c1y.gra;319718;288494;0.004328;1;828
c2y.gra;459275;414384;0.00522;1;980
c3y.gra;752187;675651;0.007123;1;1327
c4y.gra;776213;680985;0.007196;1;1366
c5y.gra;609657;520017;0.006696;1;1202
gd95c.gra;1497;1308;0.000496;1;62
gd96a.gra;340880;294475;0.004592;1;1096
gd96b.gra;1360;1245;0.000599;1;111
gd96c.gra;1193;1141;0.000448;1;65
gd96d.gra;6360;5903;0.000746;1;180
hc10.gra;471552;471204;0.009504;1;1024
mesh33x33.gra;76565;74841;0.00512;1;1089
randomA1.gra;1309456;1182606;0.009511;1;1000
randomA2.gra;1773919;1675703;0.033646;1;1000
randomA3.gra;1745924;1662183;0.061889;1;1000
randomA4.gra;1575597;1443211;0.013786;1;1000
randomG4.gra;996965;909690;0.014974;1;1000
small.gra;13;11;0.000185;1;5
whitaker3.gra;11561652;10918179;0.066995;1;9800
3elt.gra;4629634;3029919;0.083325;10;47200
airfoil1.gra;4028978;1905125;0.074854;10;42530
basic.gra;6;6;0.000484;10;40
bintree10.gra;195831;189039;0.007004;10;10230
c1y.gra;325514;280275;0.01236;10;8280
c2y.gra;431961;369249;0.014636;10;9800
c3y.gra;775690;664130;0.019862;10;13270
c4y.gra;700754;601878;0.022135;10;13660
c5y.gra;633522;505142;0.018072;10;12020
gd95c.gra;1396;1139;0.001425;10;620
gd96a.gra;336700;279810;0.013672;10;10960
gd96b.gra;2227;920;0.0016;10;1110
gd96c.gra;1193;1138;0.001334;10;650
gd96d.gra;6360;5357;0.002268;10;1800
hc10.gra;471552;471204;0.021366;10;10240
mesh33x33.gra;76565;61353;0.014695;10;10890
randomA1.gra;1309456;1098067;0.028042;10;10000
randomA2.gra;1773919;1520091;0.089872;10;10000
randomA3.gra;1745924;1623945;0.169471;10;10000
randomA4.gra;1575597;1284448;0.036393;10;10000
randomG4.gra;996965;830690;0.035338;10;10000
small.gra;12;11;0.000513;10;50
whitaker3.gra;12170434;9616868;0.172397;10;98000
3elt.gra;3672611;2971877;0.59698;100;472000
airfoil1.gra;2274104;1800843;0.5364;100;425300
basic.gra;6;6;0.003538;100;400
bintree10.gra;188195;169039;0.051373;100;102300
c1y.gra;319505;267550;0.092401;100;82800
